,source_id,FeH,FeH_err,FeH_pre,FeHerr_pre
0,6380659528686603008,-1.86,0.01,-2.132652,0.045187
1,5412243359495900928,-1.84,0.09,-1.733289,0.051593
2,4055098870077726976,-1.3,0.11,-1.346272,0.067951
3,2973954279102006656,-1.66,0.11,-2.070626,0.03934
4,5032510629236996608,-1.88,0.11,-2.077178,0.022992
5,5017575447402248448,-1.64,0.11,-1.781695,0.058827
6,4870497075488741888,-2.49,0.11,-2.565843,0.080346
7,5026371849661393664,-1.56,0.11,-1.895279,0.036049
8,6539269990871163392,-1.78,0.11,-2.155733,0.101967
9,4854226777298797952,-1.6,0.11,-1.725471,0.053193
10,5021251939406481280,-1.81,0.11,-1.838128,0.04237
11,4842417335222335104,-1.59,0.11,-1.696152,0.057248
12,5014374081858244608,-1.86,0.11,-1.920292,0.047646
13,6529664829085975808,-1.87,0.11,-1.827129,0.032711
14,2497458508359533184,-1.96,0.06,-2.192865,0.072214
15,1770039418063209600,-1.68,0.05,-1.931703,0.059324
16,6625215584995450624,-1.61,0.18,-1.509006,0.062004
17,2973463347160718976,-1.88,0.28,-2.060652,0.038212
18,6565527904791301504,-0.47,0.04,-0.764282,0.069704
19,6526559499016401408,-1.57,0.04,-1.722733,0.048612
20,4709830423483623808,-1.9,0.08,-1.937558,0.054542
21,3699778119760745472,-1.41,0.04,-1.665548,0.077769
22,3626569264033312896,-1.7,0.14,-2.067657,0.079817
23,6910611591970329216,-0.24,0.04,-0.362368,0.057885
24,5737579706158770560,-1.78,0.04,-1.784175,0.058732
25,4454183799545435008,-2.36,0.14,-2.260981,0.028374
26,4410058473777585024,-1.47,0.04,-1.368164,0.031794
27,4860671839583430912,-1.81,0.01,-1.849559,0.03338
28,4784552718312266624,-0.82,0.03,-0.693737,0.064864
29,2976126948438805760,-1.66,0.07,-1.752785,0.062708
30,3486473757325180032,-2.54,0.08,-2.401884,0.054995
31,5769986338215537280,-1.46,0.15,-1.563807,0.033147
32,5806921716937210496,-1.5,0.1,-1.588475,0.039195
33,6483680332235888896,-1.63,0.03,-1.621235,0.055172
34,6787617919184986496,-1.58,0.05,-1.457073,0.089845
35,4229920123678447232,-1.47,0.04,-1.712876,0.06148
36,2558296724402139392,-1.63,0.1,-1.628611,0.046543
37,3499611306368945536,-1.76,0.08,-1.692857,0.060701
38,4352084489819078784,0.11,0.01,-0.419114,0.119108
39,4224859720193721856,-0.42,0.11,-0.406767,0.071551
40,1760981190300823808,-0.43,0.08,-0.544855,0.052914
41,1793460115244988800,-0.03,0.07,-0.178757,0.041542
42,1191510003353849472,0.05,0.01,-0.868451,0.12112
43,3546458301374134528,-0.54,0.04,-0.622695,0.071375
44,3479598373678136832,-1.47,0.12,-1.473571,0.058401
45,3465394126556301056,-3.06,0.08,-2.588606,0.104085
46,3464204523694392192,-0.77,0.11,-0.917515,0.047442
47,3464231977125588736,-1.96,0.0,-2.146523,0.054741
48,3462535705561799552,-1.55,0.04,-1.928867,0.068795
49,3460867849501581824,-1.63,0.02,-1.719349,0.042139
50,5384505910934827392,-1.49,0.04,-1.597308,0.049029
51,5911972631268753792,-1.48,0.04,-1.363074,0.02755
52,6484572104886495872,-1.46,0.11,-2.035636,0.041961
53,3698725337376560512,-0.93,0.04,-1.312064,0.050436
54,4467433017738606080,-1.49,0.23,-1.536455,0.053246
55,2981136563934324224,-1.51,0.08,-1.425245,0.10482
56,4985455998336183168,-1.38,0.23,-1.395739,0.236064
57,5058670209887423616,-1.42,0.04,-1.74486,0.048936
58,3604450388616968576,-1.77,0.09,-1.778434,0.027549
59,5461994302138361728,-1.95,0.06,-2.137056,0.06747
60,6796320308904070016,-1.49,0.04,-1.416373,0.041433
61,2689556491246048896,-1.45,0.01,-1.41703,0.041154
62,4344296958198114688,-1.15,0.04,-1.124753,0.060683
63,630421935431871232,-1.58,0.08,-1.41577,0.029152
64,5151789464548893184,-1.5,0.03,-1.784158,0.039727
65,2381771781829913984,-1.74,0.03,-1.644237,0.056515
66,5510293236607430656,-0.73,0.02,-0.666463,0.043457
67,6378877082899249664,-0.16,0.04,-0.38937,0.043459
68,4473628559603349888,-0.63,0.04,-0.480036,0.084937
69,3839232130153219456,-1.25,0.04,-1.645336,0.029011
70,6897755139944897024,-1.42,0.09,-2.235285,0.053723
71,6589892159047076096,-2.37,0.04,-2.818283,0.174545
